k,v,q
0,70,0
5,68.4091,342.045
10,66.8182,668.182
15,65.2273,978.409
20,63.6364,1272.73
25,62.0455,1551.14
30,60.4545,1813.64
35,58.8636,2060.23
40,57.2727,2290.91
45,55.6818,2505.68
50,54.0909,2704.55
55,52.5,2887.5
60,50.9091,3054.55
65,49.3182,3205.68
70,47.7273,3340.91
75,46.1364,3460.23
80,44.5455,3563.64
85,42.9545,3651.14
90,41.3636,3722.73
95,39.7727,3778.41
100,38.1818,3818.18
105,36.5909,3842.05
110,35,3850
115,33.4091,3842.05
120,31.8182,3818.18
125,30.2273,3778.41
130,28.6364,3722.73
135,27.0455,3651.14
140,25.4545,3563.64
145,23.8636,3460.23
150,22.2727,3340.91
155,20.6818,3205.68
160,19.0909,3054.55
165,17.5,2887.5
170,15.9091,2704.55
175,14.3182,2505.68
180,12.7273,2290.91
185,11.1364,2060.23
190,9.54545,1813.64
195,7.95455,1551.14
200,6.36364,1272.73
205,4.77273,978.409
210,3.18182,668.182
215,1.59091,342.045
220,0,0
