k,v,q
0,100,0
5,97.5,487.5
10,95,950
15,92.5,1387.5
20,90,1800
25,87.5,2187.5
30,85,2550
35,82.5,2887.5
40,80,3200
45,77.5,3487.5
50,75,3750
55,72.5,3987.5
60,70,4200
65,67.5,4387.5
70,65,4550
75,62.5,4687.5
80,60,4800
85,57.5,4887.5
90,55,4950
95,52.5,4987.5
100,50,5000
105,47.5,4987.5
110,45,4950
115,42.5,4887.5
120,40,4800
125,37.5,4687.5
130,35,4550
135,32.5,4387.5
140,30,4200
145,27.5,3987.5
150,25,3750
155,22.5,3487.5
160,20,3200
165,17.5,2887.5
170,15,2550
175,12.5,2187.5
180,10,1800
185,7.5,1387.5
190,5,950
195,2.5,487.5
200,0,0
